epoch,train_loss,val_loss,train_acc,val_acc,train_balanced_acc,val_balanced_acc,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1,val_min_class_acc,val_max_class_acc,val_class_gap,val_composite_score,fairness_ok,train_class_acc_Discoide,val_class_acc_Discoide,train_class_acc_Levallois,val_class_acc_Levallois,train_class_acc_Laminaire,val_class_acc_Laminaire
1,0.9759266771394621,6.021711470475838,0.5186104218362283,0.263681592039801,0.5678516783137689,0.3333333333333333,0.571394080443326,0.06952798198064405,0.5186104218362283,0.263681592039801,0.5120997673550547,0.11004034943393269,0.0,1.0,1.0,0.21333333333333332,0,0.698019801980198,0.0,0.35459183673469385,0.0,0.6509433962264151,1.0
2,0.9007406435888399,1.7177587777227905,0.5372208436724566,0.3333333333333333,0.5639661338101466,0.38359389038634323,0.5532090171432215,0.4219579599790613,0.5372208436724566,0.3333333333333333,0.5361429958878638,0.27633086248422334,0.14,0.8679245283018868,0.7279245283018868,0.29624294699011683,0,0.6039603960396039,0.14,0.44642857142857145,0.14285714285714285,0.6415094339622641,0.8679245283018868
3,0.8438226256713678,0.9209001512076724,0.5942928039702233,0.5572139303482587,0.6142793283949111,0.6064895392119111,0.6155070550790057,0.594944684472375,0.5942928039702233,0.5572139303482587,0.5964077409427587,0.547858446943666,0.3979591836734694,0.78,0.38204081632653064,0.5606446412527274,0,0.6732673267326733,0.78,0.5280612244897959,0.3979591836734694,0.6415094339622641,0.6415094339622641
4,0.7909080671613329,1.0027592122851319,0.6166253101736973,0.5124378109452736,0.649935315056342,0.4855807983570786,0.6432592852678183,0.5191906101264151,0.6166253101736973,0.5124378109452736,0.6158130276523661,0.5028903933192318,0.28,0.5918367346938775,0.3118367346938775,0.4481603901938133,0,0.7277227722772277,0.28,0.5051020408163265,0.5918367346938775,0.7169811320754716,0.5849056603773585
5,0.8059899381017567,0.9279872751354579,0.607940446650124,0.6019900497512438,0.6313978047785526,0.587498395584649,0.6397266330578247,0.6062743220545228,0.607940446650124,0.6019900497512438,0.6115614278504623,0.6017105130911101,0.5094339622641509,0.6530612244897959,0.14362726222564492,0.5702631241175716,1,0.7079207920792079,0.6,0.5306122448979592,0.6530612244897959,0.6556603773584906,0.5094339622641509
6,0.800747095799032,0.9894935177333319,0.6352357320099256,0.5024875621890548,0.6525262075687738,0.5283814657938647,0.6520930980608399,0.5392132742879011,0.6352357320099256,0.5024875621890548,0.6373748400548268,0.4991324242982617,0.40816326530612246,0.7169811320754716,0.3088178667693492,0.4913233217815428,0,0.6782178217821783,0.46,0.576530612244898,0.40816326530612246,0.7028301886792453,0.7169811320754716
7,0.7858158691645261,0.9196176872917668,0.6141439205955335,0.5522388059701493,0.6422037804473555,0.5313823642664613,0.6445427805876777,0.5553686593487589,0.6141439205955335,0.5522388059701493,0.6153602635635401,0.5513917915656953,0.4716981132075472,0.6224489795918368,0.15075086638428958,0.5132922603003466,1,0.7574257425742574,0.5,0.5229591836734694,0.6224489795918368,0.6462264150943396,0.4716981132075472
8,0.7767514252189371,0.8867778487466461,0.6265508684863523,0.5472636815920398,0.6477628413592225,0.604461558208189,0.6499332433135987,0.6043363384389346,0.6265508684863523,0.5472636815920398,0.6291144389949589,0.5340629492868298,0.3673469387755102,0.88,0.5126530612244897,0.5429431908612503,0,0.7079207920792079,0.88,0.5561224489795918,0.3673469387755102,0.6792452830188679,0.5660377358490566
9,0.7665343053879277,0.8913718295927665,0.6191066997518611,0.6019900497512438,0.6445718021936965,0.6029392889231163,0.645148089831665,0.60617457851874,0.6191066997518611,0.6019900497512438,0.6206892384307638,0.6000563054227538,0.5,0.7169811320754716,0.21698113207547165,0.5769015530740598,1,0.7376237623762376,0.5,0.5357142857142857,0.5918367346938775,0.660377358490566,0.7169811320754716
10,0.7610311571776719,0.9342912388085133,0.6377171215880894,0.582089552238806,0.6556494165011418,0.5836888717751251,0.6585384708353335,0.5953482724631058,0.6377171215880894,0.582089552238806,0.6401127925667262,0.5835994676580253,0.5094339622641509,0.66,0.1505660377358491,0.5656209472468232,1,0.7227722772277227,0.66,0.5790816326530612,0.5816326530612245,0.6650943396226415,0.5094339622641509
